Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,28.059999,28.215000,27.334999,28.090000,24.769686,11023600
2016-03-03,28.120001,28.135000,27.490000,27.905001,24.606552,13735600
2016-03-04,27.802500,28.635000,27.662500,28.572500,25.195156,11726400
2016-03-07,28.514999,28.682501,28.372499,28.612499,25.230429,8543200
2016-03-08,28.622499,28.924999,28.542500,28.862499,25.450872,8272400
2016-03-09,28.834999,29.102501,28.834999,29.065001,25.629442,7436400
2016-03-10,29.207500,29.242500,28.632500,28.922501,25.503786,6253200
2016-03-11,29.070000,29.094999,28.842501,28.955000,25.532448,6350000
2016-03-14,29.057501,29.192499,28.820000,28.959999,25.536852,6013600
2016-03-15,28.962500,29.167500,28.825001,28.900000,25.483944,9315600
2016-03-16,28.885000,29.379999,28.610001,29.280001,25.819023,7542000
2016-03-17,29.320000,29.637501,29.127501,29.582500,26.085773,8162800
2016-03-18,29.684999,29.719999,29.392500,29.625000,26.123247,21650800
2016-03-21,29.467501,29.597500,29.152500,29.392500,25.918226,6316800
2016-03-22,29.340000,29.540001,29.180000,29.260000,25.801392,5932000
2016-03-23,29.174999,29.525000,29.105000,29.422501,25.944685,6684000
2016-03-24,29.372499,29.655001,29.320000,29.620001,26.118839,9832000
2016-03-28,29.587500,29.725000,29.340000,29.395000,25.920429,5526400
2016-03-29,29.487499,29.782499,29.295000,29.752501,26.235672,5559200
2016-03-30,29.787500,29.842501,29.525000,29.625000,26.123247,5168000
2016-03-31,29.559999,29.700001,29.462500,29.584999,26.087971,8025600
2016-04-01,29.522499,29.747499,29.365000,29.677500,26.169542,8320800
2016-04-04,29.757500,29.795000,29.485001,29.680000,26.171743,5239600
2016-04-05,29.575001,29.725000,29.037500,29.087500,25.649279,8802800
2016-04-06,29.080000,29.184999,28.895000,29.177500,25.728640,6557200
2016-04-07,29.092501,29.327499,28.997499,29.047501,25.614008,5359600
2016-04-08,28.997499,29.360001,28.997499,29.202499,25.750685,4268800
2016-04-11,29.264999,29.407499,29.007500,29.057501,25.622828,4226000
2016-04-12,29.120001,29.315001,29.017500,29.262501,25.803595,5726400
2016-04-13,29.347500,29.397499,28.940001,29.120001,25.677938,4754400
